Years,x2_5_hr,rank,Probability,Frequency
"2014-2015",13.6,1,5.88235294117647,17
"2020-2021",10.56,2,11.7647058823529,8.5
"2010-2011",10.16,3,17.6470588235294,5.66666666666667
"2011-2012",9.68,4,23.5294117647059,4.25
"2008-2009",9.56,5,29.4117647058824,3.4
"2013-2014",9.56,6,35.2941176470588,2.83333333333333
"2015-2016",9.48,7,41.1764705882353,2.42857142857143
"2004-2005",9.44,8,47.0588235294118,2.125
"2009-2010",9.04,9,52.9411764705882,1.88888888888889
"2007-2008",8.92,10,58.8235294117647,1.7
"2003-2004",8.84,11,64.7058823529412,1.54545454545455
"2005-2006",8.8,12,70.5882352941177,1.41666666666667
"2017-2018",8.72,13,76.4705882352941,1.30769230769231
"2016-2017",8.68,14,82.3529411764706,1.21428571428571
"2012-2013",7.68,15,88.2352941176471,1.13333333333333
"2021-2022",5.36,16,94.1176470588235,1.0625
