Years,x4_5_hr,rank,Probability,Frequency
"2009-2010",9.26666666666667,1,6.25,16
"2019-2020",9.11111111111111,2,12.5,8
"2012-2013",7.64444444444444,3,18.75,5.33333333333333
"2008-2009",7.15555555555556,4,25,4
"2016-2017",7.11111111111111,5,31.25,3.2
"2018-2019",7.08888888888889,6,37.5,2.66666666666667
"2007-2008",6.64444444444444,7,43.75,2.28571428571429
"2020-2021",6.51111111111111,8,50,2
"2017-2018",6.44444444444444,9,56.25,1.77777777777778
"2010-2011",6.11111111111111,10,62.5,1.6
"2011-2012",6.11111111111111,11,68.75,1.45454545454545
"2014-2015",6.02222222222222,12,75,1.33333333333333
"2015-2016",5.95555555555556,13,81.25,1.23076923076923
"2021-2022",5.68888888888889,14,87.5,1.14285714285714
"2013-2014",4.82222222222222,15,93.75,1.06666666666667
