Years,x4_hr,rank,Probability,Frequency
"2021-2022",11.225,1,6.66666666666667,15
"2009-2010",8.55,2,13.3333333333333,7.5
"2018-2019",7.7,3,20,5
"2015-2016",7.4,4,26.6666666666667,3.75
"2019-2020",6.675,5,33.3333333333333,3
"2017-2018",6.375,6,40,2.5
"2012-2013",6.3,7,46.6666666666667,2.14285714285714
"2020-2021",6.025,8,53.3333333333333,1.875
"2008-2009",5.575,9,60,1.66666666666667
"2010-2011",5.525,10,66.6666666666667,1.5
"2014-2015",5.5,11,73.3333333333333,1.36363636363636
"2016-2017",4.875,12,80,1.25
"2007-2008",4.825,13,86.6666666666667,1.15384615384615
"2013-2014",4.3,14,93.3333333333333,1.07142857142857
