Years,x3_5_hr,rank,Probability,Frequency
"2006-2007",10.8,1,5,20
"2009-2010",7.77142857142857,2,10,10
"2008-2009",5.37142857142857,3,15,6.66666666666667
"2021-2022",4.6,4,20,5
"2012-2013",4.51428571428571,5,25,4
"2019-2020",4.4,6,30,3.33333333333333
"2011-2012",3.6,7,35,2.85714285714286
"2015-2016",3.6,8,40,2.5
"2018-2019",3.14285714285714,9,45,2.22222222222222
"2013-2014",3.02857142857143,10,50,2
"2003-2004",2.88571428571429,11,55,1.81818181818182
"2007-2008",2.68571428571429,12,60,1.66666666666667
"2017-2018",2.65714285714286,13,65,1.53846153846154
"2014-2015",2.54285714285714,14,70,1.42857142857143
"2005-2006",2.42857142857143,15,75,1.33333333333333
"2004-2005",2.4,16,80,1.25
"2010-2011",1.85714285714286,17,85,1.17647058823529
"2016-2017",1.82857142857143,18,90,1.11111111111111
"2020-2021",1.68571428571429,19,95,1.05263157894737
