Years,x5_hr,rank,Probability,Frequency
"2006-2007",7.56,1,5,20
"2009-2010",6.7,2,10,10
"2012-2013",4.06,3,15,6.66666666666667
"2008-2009",3.76,4,20,5
"2019-2020",3.5,5,25,4
"2021-2022",3.22,6,30,3.33333333333333
"2015-2016",2.8,7,35,2.85714285714286
"2013-2014",2.56,8,40,2.5
"2011-2012",2.52,9,45,2.22222222222222
"2018-2019",2.46,10,50,2
"2003-2004",2.3,11,55,1.81818181818182
"2014-2015",2.28,12,60,1.66666666666667
"2005-2006",2.14,13,65,1.53846153846154
"2007-2008",2.02,14,70,1.42857142857143
"2017-2018",1.98,15,75,1.33333333333333
"2004-2005",1.88,16,80,1.25
"2010-2011",1.46,17,85,1.17647058823529
"2016-2017",1.42,18,90,1.11111111111111
"2020-2021",1.18,19,95,1.05263157894737
