Years,x4_hr,rank,Probability,Frequency
"1997-1998",14.625,1,3.84615384615385,26
"2003-2004",13.825,2,7.69230769230769,13
"2000-2001",12.1,3,11.5384615384615,8.66666666666667
"2019-2020",11.825,4,15.3846153846154,6.5
"2001-2002",11.55,5,19.2307692307692,5.2
"2005-2006",11.075,6,23.0769230769231,4.33333333333333
"2006-2007",10.475,7,26.9230769230769,3.71428571428571
"2016-2017",10.125,8,30.7692307692308,3.25
"2014-2015",9.675,9,34.6153846153846,2.88888888888889
"2020-2021",9.45,10,38.4615384615385,2.6
"2010-2011",9,11,42.3076923076923,2.36363636363636
"2017-2018",8.95,12,46.1538461538462,2.16666666666667
"2009-2010",8.675,13,50,2
"2011-2012",8.625,14,53.8461538461538,1.85714285714286
"2012-2013",8.3,15,57.6923076923077,1.73333333333333
"2007-2008",8.075,16,61.5384615384615,1.625
"2008-2009",7.075,17,65.3846153846154,1.52941176470588
"1999-2000",6.9,18,69.2307692307692,1.44444444444444
"2018-2019",6.825,19,73.0769230769231,1.36842105263158
"2021-2022",6.7,20,76.9230769230769,1.3
"2004-2005",6.575,21,80.7692307692308,1.23809523809524
"1996-1997",5.975,22,84.6153846153846,1.18181818181818
"1998-1999",5.6,23,88.4615384615385,1.1304347826087
"2015-2016",5.45,24,92.3076923076923,1.08333333333333
"2013-2014",4.125,25,96.1538461538462,1.04
