Years,x2_hr,rank,Probability,Frequency
"2015-2016",14.65,1,6.25,16
"2010-2011",7,2,12.5,8
"2018-2019",6.75,3,18.75,5.33333333333333
"2017-2018",6.5,4,25,4
"2019-2020",6.45,5,31.25,3.2
"2013-2014",5.05,6,37.5,2.66666666666667
"2009-2010",4.9,7,43.75,2.28571428571429
"2021-2022",4.1,8,50,2
"2020-2021",3.9,9,56.25,1.77777777777778
"2012-2013",3.85,10,62.5,1.6
"2014-2015",3.8,11,68.75,1.45454545454545
"2007-2008",3.2,12,75,1.33333333333333
"2016-2017",3,13,81.25,1.23076923076923
"2008-2009",2.95,14,87.5,1.14285714285714
"2011-2012",2.45,15,93.75,1.06666666666667
