Years,x50_min,rank,Probability,Frequency
"2007-2008",36.84,1,5.55555555555556,18
"2008-2009",29.88,2,11.1111111111111,9
"2015-2016",29.88,3,16.6666666666667,6
"2020-2021",23.28,4,22.2222222222222,4.5
"2010-2011",22.32,5,27.7777777777778,3.6
"2017-2018",22.32,6,33.3333333333333,3
"2009-2010",20.4,7,38.8888888888889,2.57142857142857
"2019-2020",19.44,8,44.4444444444444,2.25
"2016-2017",18.6,9,50,2
"2014-2015",17.4,10,55.5555555555556,1.8
"2012-2013",16.2,11,61.1111111111111,1.63636363636364
"2006-2007",14.52,12,66.6666666666667,1.5
"2011-2012",14.4,13,72.2222222222222,1.38461538461538
"2018-2019",12.6,14,77.7777777777778,1.28571428571429
"2021-2022",12,15,83.3333333333333,1.2
"2005-2006",11.76,16,88.8888888888889,1.125
"2013-2014",10.44,17,94.4444444444444,1.05882352941176
