Years,x4_hr,rank,Probability,Frequency
"2009-2010",10.175,1,5.55555555555556,18
"2005-2006",9.2,2,11.1111111111111,9
"2008-2009",8.2,3,16.6666666666667,6
"2019-2020",7.8,4,22.2222222222222,4.5
"2014-2015",7.625,5,27.7777777777778,3.6
"2006-2007",7.575,6,33.3333333333333,3
"2017-2018",7.275,7,38.8888888888889,2.57142857142857
"2016-2017",6.875,8,44.4444444444444,2.25
"2012-2013",6.675,9,50,2
"2020-2021",6.625,10,55.5555555555556,1.8
"2018-2019",6.5,11,61.1111111111111,1.63636363636364
"2015-2016",5.85,12,66.6666666666667,1.5
"2021-2022",5.65,13,72.2222222222222,1.38461538461538
"2013-2014",5.55,14,77.7777777777778,1.28571428571429
"2007-2008",5.5,15,83.3333333333333,1.2
"2011-2012",5.3,16,88.8888888888889,1.125
"2010-2011",4.775,17,94.4444444444444,1.05882352941176
