Years,x1_hr,rank,Probability,Frequency
"2017-2018",27.7,1,6.25,16
"2019-2020",24.3,2,12.5,8
"2020-2021",20.4,3,18.75,5.33333333333333
"2018-2019",18.6,4,25,4
"2012-2013",18.1,5,31.25,3.2
"2008-2009",17.8,6,37.5,2.66666666666667
"2007-2008",16.4,7,43.75,2.28571428571429
"2010-2011",16.4,8,50,2
"2013-2014",15.6,9,56.25,1.77777777777778
"2009-2010",15.2,10,62.5,1.6
"2015-2016",14.6,11,68.75,1.45454545454545
"2011-2012",12.8,12,75,1.33333333333333
"2021-2022",10.6,13,81.25,1.23076923076923
"2016-2017",10.3,14,87.5,1.14285714285714
"2014-2015",9.4,15,93.75,1.06666666666667
