Years,x50_min,rank,Probability,Frequency
"2009-2010",25.08,1,5.88235294117647,17
"2016-2017",24.48,2,11.7647058823529,8.5
"2020-2021",22.92,3,17.6470588235294,5.66666666666667
"2014-2015",22.44,4,23.5294117647059,4.25
"2010-2011",22.32,5,29.4117647058824,3.4
"2007-2008",18.96,6,35.2941176470588,2.83333333333333
"2004-2005",18.36,7,41.1764705882353,2.42857142857143
"2008-2009",16.8,8,47.0588235294118,2.125
"2013-2014",15.6,9,52.9411764705882,1.88888888888889
"2015-2016",15.48,10,58.8235294117647,1.7
"2011-2012",15.24,11,64.7058823529412,1.54545454545455
"2012-2013",14.16,12,70.5882352941177,1.41666666666667
"2005-2006",13.32,13,76.4705882352941,1.30769230769231
"2017-2018",13.2,14,82.3529411764706,1.21428571428571
"2021-2022",12.84,15,88.2352941176471,1.13333333333333
"2003-2004",11.64,16,94.1176470588235,1.0625
