Years,x40_min,rank,Probability,Frequency
"2015-2016",29.55,1,6.25,16
"2009-2010",26.85,2,12.5,8
"2007-2008",24.3,3,18.75,5.33333333333333
"2016-2017",20.7,4,25,4
"2018-2019",20.4,5,31.25,3.2
"2013-2014",19.8,6,37.5,2.66666666666667
"2010-2011",19.2,7,43.75,2.28571428571429
"2014-2015",19.2,8,50,2
"2012-2013",16.2,9,56.25,1.77777777777778
"2019-2020",15.9,10,62.5,1.6
"2017-2018",14.1,11,68.75,1.45454545454545
"2020-2021",14.1,12,75,1.33333333333333
"2008-2009",13.95,13,81.25,1.23076923076923
"2021-2022",13.5,14,87.5,1.14285714285714
"2011-2012",13.05,15,93.75,1.06666666666667
