Years,x1_hr,rank,Probability,Frequency
"2014-2015",33.2,1,5.26315789473684,19
"2017-2018",27,2,10.5263157894737,9.5
"2009-2010",26.7,3,15.7894736842105,6.33333333333333
"2020-2021",26.5,4,21.0526315789474,4.75
"2011-2012",25.9,5,26.3157894736842,3.8
"2019-2020",23.3,6,31.5789473684211,3.16666666666667
"2016-2017",20.2,7,36.8421052631579,2.71428571428571
"2015-2016",20,8,42.1052631578947,2.375
"2006-2007",17.8,9,47.3684210526316,2.11111111111111
"2004-2005",17.7,10,52.6315789473684,1.9
"2018-2019",17.3,11,57.8947368421053,1.72727272727273
"2010-2011",17,12,63.1578947368421,1.58333333333333
"2005-2006",16.3,13,68.4210526315789,1.46153846153846
"2021-2022",15.7,14,73.6842105263158,1.35714285714286
"2007-2008",15.3,15,78.9473684210526,1.26666666666667
"2008-2009",14.9,16,84.2105263157895,1.1875
"2012-2013",14.7,17,89.4736842105263,1.11764705882353
"2013-2014",10.3,18,94.7368421052632,1.05555555555556
