Years,x30_min,rank,Probability,Frequency
"2012-2013",30.6,1,5.88235294117647,17
"2014-2015",22.6,2,11.7647058823529,8.5
"2013-2014",14.4,3,17.6470588235294,5.66666666666667
"2018-2019",11.6,4,23.5294117647059,4.25
"2006-2007",10.6,5,29.4117647058824,3.4
"2015-2016",9.8,6,35.2941176470588,2.83333333333333
"2007-2008",9.4,7,41.1764705882353,2.42857142857143
"2008-2009",9.4,8,47.0588235294118,2.125
"2021-2022",9.2,9,52.9411764705882,1.88888888888889
"2009-2010",7,10,58.8235294117647,1.7
"2010-2011",7,11,64.7058823529412,1.54545454545455
"2017-2018",6.8,12,70.5882352941177,1.41666666666667
"2019-2020",6.6,13,76.4705882352941,1.30769230769231
"2016-2017",5.8,14,82.3529411764706,1.21428571428571
"2020-2021",5.8,15,88.2352941176471,1.13333333333333
"2011-2012",3.4,16,94.1176470588235,1.0625
