Years,x2_5_hr,rank,Probability,Frequency
"2013-2014",11.28,1,3.7037037037037,27
"2014-2015",9.04,2,7.40740740740741,13.5
"1997-1998",8.28,3,11.1111111111111,9
"2008-2009",8.24,4,14.8148148148148,6.75
"2000-2001",7.16,5,18.5185185185185,5.4
"2019-2020",6.84,6,22.2222222222222,4.5
"2005-2006",6.56,7,25.9259259259259,3.85714285714286
"2009-2010",6.36,8,29.6296296296296,3.375
"2004-2005",6.2,9,33.3333333333333,3
"2002-2003",6.16,10,37.037037037037,2.7
"1996-1997",5.8,11,40.7407407407407,2.45454545454545
"2003-2004",5.68,12,44.4444444444444,2.25
"2010-2011",5.64,13,48.1481481481481,2.07692307692308
"2012-2013",5.6,14,51.8518518518518,1.92857142857143
"2015-2016",5.52,15,55.5555555555556,1.8
"2018-2019",5.4,16,59.2592592592593,1.6875
"2006-2007",5.32,17,62.962962962963,1.58823529411765
"2017-2018",5.08,18,66.6666666666667,1.5
"2020-2021",4.24,19,70.3703703703704,1.42105263157895
"2016-2017",4.16,20,74.0740740740741,1.35
"1999-2000",4.04,21,77.7777777777778,1.28571428571429
"2007-2008",3.88,22,81.4814814814815,1.22727272727273
"2001-2002",3.28,23,85.1851851851852,1.17391304347826
"2021-2022",3.2,24,88.8888888888889,1.125
"2011-2012",2.84,25,92.5925925925926,1.08
"1998-1999",2.32,26,96.2962962962963,1.03846153846154
