Years,x30_min,rank,Probability,Frequency
"2015-2016",54,1,6.66666666666667,15
"2019-2020",39.6,2,13.3333333333333,7.5
"2017-2018",32,3,20,5
"2021-2022",29.6,4,26.6666666666667,3.75
"2012-2013",27.6,5,33.3333333333333,3
"2014-2015",26.4,6,40,2.5
"2007-2008",25.2,7,46.6666666666667,2.14285714285714
"2013-2014",24.6,8,53.3333333333333,1.875
"2009-2010",20.8,9,60,1.66666666666667
"2008-2009",20.6,10,66.6666666666667,1.5
"2018-2019",19.2,11,73.3333333333333,1.36363636363636
"2016-2017",12.8,12,80,1.25
"2010-2011",11.6,13,86.6666666666667,1.15384615384615
"2020-2021",11.6,14,93.3333333333333,1.07142857142857
