Years,x20_min,rank,Probability,Frequency
"2009-2010",43.8,1,6.25,16
"2015-2016",40.8,2,12.5,8
"2013-2014",39.3,3,18.75,5.33333333333333
"2018-2019",36.3,4,25,4
"2016-2017",34.2,5,31.25,3.2
"2007-2008",32.1,6,37.5,2.66666666666667
"2014-2015",30.3,7,43.75,2.28571428571429
"2010-2011",29.7,8,50,2
"2012-2013",28.5,9,56.25,1.77777777777778
"2017-2018",27,10,62.5,1.6
"2019-2020",22.5,11,68.75,1.45454545454545
"2020-2021",22.5,12,75,1.33333333333333
"2021-2022",20.4,13,81.25,1.23076923076923
"2011-2012",18.9,14,87.5,1.14285714285714
"2008-2009",17.4,15,93.75,1.06666666666667
