Years,x1_hr,rank,Probability,Frequency
"2015-2016",20.4,1,6.25,16
"2009-2010",19.7,2,12.5,8
"2007-2008",18,3,18.75,5.33333333333333
"2016-2017",15.3,4,25,4
"2010-2011",15.2,5,31.25,3.2
"2018-2019",14.5,6,37.5,2.66666666666667
"2014-2015",14.2,7,43.75,2.28571428571429
"2013-2014",13.2,8,50,2
"2020-2021",13.1,9,56.25,1.77777777777778
"2012-2013",12.7,10,62.5,1.6
"2019-2020",12.7,11,68.75,1.45454545454545
"2021-2022",11.4,12,75,1.33333333333333
"2011-2012",11.2,13,81.25,1.23076923076923
"2008-2009",10.8,14,87.5,1.14285714285714
"2017-2018",9.5,15,93.75,1.06666666666667
