Years,x1_5_hr,rank,Probability,Frequency
"2005-2006",14.8666666666667,1,20,5
"2011-2012",13,2,40,2.5
"2008-2009",9.73333333333333,3,60,1.66666666666667
"2010-2011",7.46666666666667,4,80,1.25
