Years,x20_min,rank,Probability,Frequency
"2009-2010",42.3,1,6.66666666666667,15
"2015-2016",31.5,2,13.3333333333333,7.5
"2013-2014",26.1,3,20,5
"2017-2018",21.6,4,26.6666666666667,3.75
"2019-2020",21.6,5,33.3333333333333,3
"2008-2009",17.1,6,40,2.5
"2011-2012",14.4,7,46.6666666666667,2.14285714285714
"2014-2015",13.8,8,53.3333333333333,1.875
"2018-2019",13.5,9,60,1.66666666666667
"2016-2017",10.8,10,66.6666666666667,1.5
"2021-2022",8.4,11,73.3333333333333,1.36363636363636
"2012-2013",7.5,12,80,1.25
"2020-2021",6.6,13,86.6666666666667,1.15384615384615
"2010-2011",5.1,14,93.3333333333333,1.07142857142857
