Years,x30_min,rank,Probability,Frequency
"2019-2020",93.6,1,5.55555555555556,18
"2020-2021",58.8,2,11.1111111111111,9
"2021-2022",44.8,3,16.6666666666667,6
"2014-2015",43,4,22.2222222222222,4.5
"2017-2018",43,5,27.7777777777778,3.6
"2005-2006",38.8,6,33.3333333333333,3
"2006-2007",36.4,7,38.8888888888889,2.57142857142857
"2015-2016",34.6,8,44.4444444444444,2.25
"2009-2010",30.4,9,50,2
"2011-2012",28.8,10,55.5555555555556,1.8
"2018-2019",26.6,11,61.1111111111111,1.63636363636364
"2012-2013",26.2,12,66.6666666666667,1.5
"2010-2011",25.4,13,72.2222222222222,1.38461538461538
"2008-2009",24.6,14,77.7777777777778,1.28571428571429
"2013-2014",22.4,15,83.3333333333333,1.2
"2016-2017",20.4,16,88.8888888888889,1.125
"2007-2008",19.4,17,94.4444444444444,1.05882352941176
