Years,x4_5_hr,rank,Probability,Frequency
"2015-2016",6.51111111111111,1,6.25,16
"2013-2014",3.95555555555556,2,12.5,8
"2018-2019",3.57777777777778,3,18.75,5.33333333333333
"2010-2011",3.28888888888889,4,25,4
"2019-2020",3.24444444444444,5,31.25,3.2
"2009-2010",3.06666666666667,6,37.5,2.66666666666667
"2017-2018",2.91111111111111,7,43.75,2.28571428571429
"2021-2022",2.84444444444444,8,50,2
"2014-2015",2.13333333333333,9,56.25,1.77777777777778
"2008-2009",1.84444444444444,10,62.5,1.6
"2007-2008",1.8,11,68.75,1.45454545454545
"2011-2012",1.75555555555556,12,75,1.33333333333333
"2020-2021",1.75555555555556,13,81.25,1.23076923076923
"2012-2013",1.71111111111111,14,87.5,1.14285714285714
"2016-2017",1.33333333333333,15,93.75,1.06666666666667
