Years,x2_5_hr,rank,Probability,Frequency
"2011-2012",25.32,1,6.25,16
"2020-2021",20.92,2,12.5,8
"2017-2018",18.92,3,18.75,5.33333333333333
"2013-2014",14.6,4,25,4
"2021-2022",13.2,5,31.25,3.2
"2012-2013",11.32,6,37.5,2.66666666666667
"2010-2011",10.96,7,43.75,2.28571428571429
"2016-2017",10.68,8,50,2
"2018-2019",10.56,9,56.25,1.77777777777778
"2014-2015",9.6,10,62.5,1.6
"2019-2020",9.4,11,68.75,1.45454545454545
"2007-2008",8.4,12,75,1.33333333333333
"2008-2009",8.4,13,81.25,1.23076923076923
"2015-2016",8.32,14,87.5,1.14285714285714
"2009-2010",8.28,15,93.75,1.06666666666667
