Years,x2_hr,rank,Probability,Frequency
"2002-2003",10.6,1,6.25,16
"1993-1994",8.7,2,12.5,8
"1994-1995",8.45,3,18.75,5.33333333333333
"1997-1998",8.3,4,25,4
"2000-2001",7.45,5,31.25,3.2
"2005-2006",6.55,6,37.5,2.66666666666667
"2001-2002",6.55,7,43.75,2.28571428571429
"1996-1997",6.4,8,50,2
"1998-1999",6,9,56.25,1.77777777777778
"1999-2000",5.95,10,62.5,1.6
"1995-1996",5.75,11,68.75,1.45454545454545
"2006-2007",5.7,12,75,1.33333333333333
"2003-2004",5.55,13,81.25,1.23076923076923
"2007-2008",5.45,14,87.5,1.14285714285714
"2004-2005",3.85,15,93.75,1.06666666666667
