Years,x40_min,rank,Probability,Frequency
"2020-2021",25.5,1,6.25,16
"2021-2022",23.85,2,12.5,8
"2013-2014",18,3,18.75,5.33333333333333
"2017-2018",15.15,4,25,4
"2009-2010",14.7,5,31.25,3.2
"2014-2015",14.4,6,37.5,2.66666666666667
"2015-2016",12.75,7,43.75,2.28571428571429
"2008-2009",10.65,8,50,2
"2018-2019",10.65,9,56.25,1.77777777777778
"2019-2020",9.9,10,62.5,1.6
"2007-2008",9.45,11,68.75,1.45454545454545
"2010-2011",8.85,12,75,1.33333333333333
"2012-2013",8.55,13,81.25,1.23076923076923
"2016-2017",8.55,14,87.5,1.14285714285714
"2011-2012",8.4,15,93.75,1.06666666666667
