Years,x40_min,rank,Probability,Frequency
"1994-1995",46.5,1,3.125,32
"2015-2016",44.55,2,6.25,16
"2002-2003",23.25,3,9.375,10.6666666666667
"2004-2005",22.8,4,12.5,8
"2013-2014",19.05,5,15.625,6.4
"1997-1998",18,6,18.75,5.33333333333333
"2006-2007",17.25,7,21.875,4.57142857142857
"2005-2006",16.8,8,25,4
"2017-2018",15.15,9,28.125,3.55555555555556
"2007-2008",13.2,10,31.25,3.2
"2014-2015",13.05,11,34.375,2.90909090909091
"2016-2017",12.15,12,37.5,2.66666666666667
"1992-1993",12,13,40.625,2.46153846153846
"2010-2011",11.7,14,43.75,2.28571428571429
"2011-2012",11.4,15,46.875,2.13333333333333
"2000-2001",10.95,16,50,2
"2008-2009",10.65,17,53.125,1.88235294117647
"1996-1997",10.5,18,56.25,1.77777777777778
"2019-2020",10.5,19,59.375,1.68421052631579
"2003-2004",10.05,20,62.5,1.6
"2001-2002",9.6,21,65.625,1.52380952380952
"2020-2021",9.3,22,68.75,1.45454545454545
"2009-2010",9,23,71.875,1.39130434782609
"2012-2013",8.7,24,75,1.33333333333333
"1995-1996",7.5,25,78.125,1.28
"2021-2022",7.5,26,81.25,1.23076923076923
"2018-2019",6.6,27,84.375,1.18518518518519
"1993-1994",6,28,87.5,1.14285714285714
"1998-1999",6,29,90.625,1.10344827586207
"1999-2000",5.1,30,93.75,1.06666666666667
"1991-1992",1.5765,31,96.875,1.03225806451613
