Years,x3_hr,rank,Probability,Frequency
"2017-2018",21.3666666666667,1,5,20
"2018-2019",21.2666666666667,2,10,10
"2015-2016",14.2666666666667,3,15,6.66666666666667
"2006-2007",11.1666666666667,4,20,5
"2008-2009",10.3,5,25,4
"2020-2021",8.43333333333333,6,30,3.33333333333333
"2014-2015",7.76666666666667,7,35,2.85714285714286
"2004-2005",7.5,8,40,2.5
"2012-2013",7.46666666666667,9,45,2.22222222222222
"2019-2020",7.1,10,50,2
"2021-2022",7.06666666666667,11,55,1.81818181818182
"2009-2010",7.03333333333333,12,60,1.66666666666667
"2011-2012",6.53333333333333,13,65,1.53846153846154
"2013-2014",6.46666666666667,14,70,1.42857142857143
"2003-2004",5.7,15,75,1.33333333333333
"2016-2017",5.66666666666667,16,80,1.25
"2005-2006",5.43333333333333,17,85,1.17647058823529
"2007-2008",5.03333333333333,18,90,1.11111111111111
"2010-2011",4.7,19,95,1.05263157894737
