Years,x20_min,rank,Probability,Frequency
"2002-2003",49.2,1,6.25,16
"2000-2001",36.9,2,12.5,8
"2006-2007",33.9,3,18.75,5.33333333333333
"2007-2008",30.9,4,25,4
"1996-1997",28.5,5,31.25,3.2
"1994-1995",27.3,6,37.5,2.66666666666667
"2005-2006",24.6,7,43.75,2.28571428571429
"1993-1994",24.3,8,50,2
"2003-2004",24.3,9,56.25,1.77777777777778
"1997-1998",23.4,10,62.5,1.6
"1998-1999",18.9,11,68.75,1.45454545454545
"1995-1996",16.5,12,75,1.33333333333333
"2001-2002",15.6,13,81.25,1.23076923076923
"2004-2005",15.3,14,87.5,1.14285714285714
"1999-2000",12,15,93.75,1.06666666666667
