Years,x50_min,rank,Probability,Frequency
"2011-2012",32.52,1,16.6666666666667,6
"2009-2010",27,2,33.3333333333333,3
"2010-2011",26.64,3,50,2
"2005-2006",26.04,4,66.6666666666667,1.5
"2008-2009",21.24,5,83.3333333333333,1.2
