Years,x4_hr,rank,Probability,Frequency
"2019-2020",8.55,1,4,25
"2008-2009",8.45,2,8,12.5
"2015-2016",7.75,3,12,8.33333333333333
"2013-2014",7.725,4,16,6.25
"2001-2002",7.5,5,20,5
"1998-1999",6.925,6,24,4.16666666666667
"2020-2021",6.85,7,28,3.57142857142857
"2017-2018",6.775,8,32,3.125
"2014-2015",6.375,9,36,2.77777777777778
"2018-2019",6.225,10,40,2.5
"2002-2003",6.025,11,44,2.27272727272727
"2003-2004",6,12,48,2.08333333333333
"2010-2011",6,13,52,1.92307692307692
"2012-2013",5.8,14,56,1.78571428571429
"1999-2000",5.625,15,60,1.66666666666667
"2005-2006",5.6,16,64,1.5625
"2009-2010",5.45,17,68,1.47058823529412
"2006-2007",4.7,18,72,1.38888888888889
"2004-2005",4.625,19,76,1.31578947368421
"2011-2012",4.3,20,80,1.25
"2016-2017",4.1,21,84,1.19047619047619
"2000-2001",3.65,22,88,1.13636363636364
"2021-2022",3.6,23,92,1.08695652173913
"2007-2008",2.725,24,96,1.04166666666667
