Years,x20_min,rank,Probability,Frequency
"2009-2010",35.4,1,5,20
"2006-2007",29.1,2,10,10
"2018-2019",25.5,3,15,6.66666666666667
"2011-2012",24,4,20,5
"2007-2008",22.5,5,25,4
"2019-2020",16.2,6,30,3.33333333333333
"2020-2021",14.7,7,35,2.85714285714286
"2005-2006",14.1,8,40,2.5
"2021-2022",13.8,9,45,2.22222222222222
"2012-2013",12.9,10,50,2
"2010-2011",12.9,11,55,1.81818181818182
"2017-2018",12.9,12,60,1.66666666666667
"2013-2014",11.4,13,65,1.53846153846154
"2016-2017",11.1,14,70,1.42857142857143
"2004-2005",10.5,15,75,1.33333333333333
"2015-2016",10.5,16,80,1.25
"2008-2009",10.2,17,85,1.17647058823529
"2014-2015",10.2,18,90,1.11111111111111
"2003-2004",8.7,19,95,1.05263157894737
