Years,x2_5_hr,rank,Probability,Frequency
"2011-2012",20,1,5.55555555555556,18
"2005-2006",12.56,2,11.1111111111111,9
"2019-2020",10.88,3,16.6666666666667,6
"2017-2018",10.04,4,22.2222222222222,4.5
"2012-2013",9.76,5,27.7777777777778,3.6
"2009-2010",9.04,6,33.3333333333333,3
"2015-2016",8.48,7,38.8888888888889,2.57142857142857
"2010-2011",8,8,44.4444444444444,2.25
"2020-2021",7.32,9,50,2
"2014-2015",7.16,10,55.5555555555556,1.8
"2013-2014",6.88,11,61.1111111111111,1.63636363636364
"2018-2019",6.8,12,66.6666666666667,1.5
"2008-2009",5.96,13,72.2222222222222,1.38461538461538
"2006-2007",5.68,14,77.7777777777778,1.28571428571429
"2021-2022",5.44,15,83.3333333333333,1.2
"2007-2008",4.96,16,88.8888888888889,1.125
"2016-2017",4.84,17,94.4444444444444,1.05882352941176
