Years,x50_min,rank,Probability,Frequency
"2018-2019",48.48,1,5,20
"2017-2018",47.88,2,10,10
"2015-2016",28.2,3,15,6.66666666666667
"2012-2013",24.6,4,20,5
"2008-2009",24,5,25,4
"2013-2014",23.28,6,30,3.33333333333333
"2009-2010",23.04,7,35,2.85714285714286
"2014-2015",17.76,8,40,2.5
"2011-2012",17.52,9,45,2.22222222222222
"2019-2020",17.04,10,50,2
"2020-2021",16.56,11,55,1.81818181818182
"2004-2005",16.44,12,60,1.66666666666667
"2006-2007",15,13,65,1.53846153846154
"2010-2011",12.48,14,70,1.42857142857143
"2021-2022",11.76,15,75,1.33333333333333
"2003-2004",11.64,16,80,1.25
"2007-2008",10.92,17,85,1.17647058823529
"2016-2017",10.08,18,90,1.11111111111111
"2005-2006",9.24,19,95,1.05263157894737
