Years,x40_min,rank,Probability,Frequency
"2002-2003",27.75,1,6.25,16
"2000-2001",22.2,2,12.5,8
"1994-1995",20.55,3,18.75,5.33333333333333
"2006-2007",17.1,4,25,4
"2007-2008",16.2,5,31.25,3.2
"1997-1998",16.05,6,37.5,2.66666666666667
"1996-1997",15.45,7,43.75,2.28571428571429
"2005-2006",15.15,8,50,2
"1993-1994",14.7,9,56.25,1.77777777777778
"2003-2004",12.75,10,62.5,1.6
"1998-1999",11.1,11,68.75,1.45454545454545
"2001-2002",10.65,12,75,1.33333333333333
"1999-2000",9,13,81.25,1.23076923076923
"1995-1996",8.8125,14,87.5,1.14285714285714
"2004-2005",8.1,15,93.75,1.06666666666667
