Years,x20_min,rank,Probability,Frequency
"2020-2021",103.8,1,3.84615384615385,26
"2010-2011",65.1,2,7.69230769230769,13
"2014-2015",57.9,3,11.5384615384615,8.66666666666667
"2008-2009",54.9,4,15.3846153846154,6.5
"2001-2002",54.6,5,19.2307692307692,5.2
"2000-2001",54,6,23.0769230769231,4.33333333333333
"2002-2003",53.1,7,26.9230769230769,3.71428571428571
"2015-2016",52.2,8,30.7692307692308,3.25
"1999-2000",45.9,9,34.6153846153846,2.88888888888889
"2009-2010",44.7,10,38.4615384615385,2.6
"2012-2013",44.4,11,42.3076923076923,2.36363636363636
"2017-2018",43.5,12,46.1538461538462,2.16666666666667
"2019-2020",39.6,13,50,2
"2011-2012",38.4,14,53.8461538461538,1.85714285714286
"2021-2022",38.4,15,57.6923076923077,1.73333333333333
"2006-2007",34.5,16,61.5384615384615,1.625
"2018-2019",34.5,17,65.3846153846154,1.52941176470588
"1994-1995",32.1,18,69.2307692307692,1.44444444444444
"2007-2008",30.3,19,73.0769230769231,1.36842105263158
"2004-2005",30,20,76.9230769230769,1.3
"2003-2004",28.5,21,80.7692307692308,1.23809523809524
"2005-2006",27.9,22,84.6153846153846,1.18181818181818
"2016-2017",27.6,23,88.4615384615385,1.1304347826087
"2013-2014",24.9,24,92.3076923076923,1.08333333333333
"1993-1994",22.2,25,96.1538461538462,1.04
