Years,x2_5_hr,rank,Probability,Frequency
"2015-2016",17.68,1,4.54545454545455,22
"2019-2020",15.68,2,9.09090909090909,11
"2009-2010",15.6,3,13.6363636363636,7.33333333333333
"2010-2011",14.52,4,18.1818181818182,5.5
"2012-2013",14.28,5,22.7272727272727,4.4
"2002-2003",14.12,6,27.2727272727273,3.66666666666667
"2014-2015",14,7,31.8181818181818,3.14285714285714
"2001-2002",13,8,36.3636363636364,2.75
"2020-2021",12.64,9,40.9090909090909,2.44444444444444
"2018-2019",11.24,10,45.4545454545455,2.2
"2017-2018",11.16,11,50,2
"2003-2004",10.84,12,54.5454545454545,1.83333333333333
"2007-2008",10.6,13,59.0909090909091,1.69230769230769
"2021-2022",9.76,14,63.6363636363636,1.57142857142857
"2008-2009",9.68,15,68.1818181818182,1.46666666666667
"2011-2012",9.64,16,72.7272727272727,1.375
"2005-2006",9.2,17,77.2727272727273,1.29411764705882
"2004-2005",8.88,18,81.8181818181818,1.22222222222222
"2016-2017",8.28,19,86.3636363636364,1.15789473684211
"2006-2007",7.84,20,90.9090909090909,1.1
"2013-2014",5.8,21,95.4545454545455,1.04761904761905
