Years,x5_hr,rank,Probability,Frequency
"2014-2015",6.36,1,6.25,16
"2009-2010",6.3,2,12.5,8
"2020-2021",5.68,3,18.75,5.33333333333333
"2017-2018",5.48,4,25,4
"2015-2016",5.42,5,31.25,3.2
"2021-2022",5.28,6,37.5,2.66666666666667
"2012-2013",5.06,7,43.75,2.28571428571429
"2018-2019",5,8,50,2
"2019-2020",4.58,9,56.25,1.77777777777778
"2013-2014",4.54,10,62.5,1.6
"2008-2009",4.46,11,68.75,1.45454545454545
"2016-2017",4.34,12,75,1.33333333333333
"2011-2012",3.94,13,81.25,1.23076923076923
"2010-2011",3.84,14,87.5,1.14285714285714
"2007-2008",3.74,15,93.75,1.06666666666667
