Years,x5_hr,rank,Probability,Frequency
"2010-2011",12.02,1,6.66666666666667,15
"2019-2020",10.54,2,13.3333333333333,7.5
"2009-2010",10.38,3,20,5
"2012-2013",9.68,4,26.6666666666667,3.75
"2020-2021",9.56,5,33.3333333333333,3
"2016-2017",9,6,40,2.5
"2021-2022",8.46,7,46.6666666666667,2.14285714285714
"2018-2019",7.58,8,53.3333333333333,1.875
"2017-2018",7.4,9,60,1.66666666666667
"2008-2009",7.2,10,66.6666666666667,1.5
"2013-2014",6.4,11,73.3333333333333,1.36363636363636
"2015-2016",6,12,80,1.25
"2011-2012",5.86,13,86.6666666666667,1.15384615384615
"2014-2015",5.54,14,93.3333333333333,1.07142857142857
