Years,x2_5_hr,rank,Probability,Frequency
"2017-2018",21.96,1,6.25,16
"2012-2013",18.76,2,12.5,8
"2011-2012",17.24,3,18.75,5.33333333333333
"2019-2020",17.2,4,25,4
"2020-2021",17.08,5,31.25,3.2
"2010-2011",16.32,6,37.5,2.66666666666667
"2007-2008",14.84,7,43.75,2.28571428571429
"2018-2019",14.08,8,50,2
"2021-2022",13.52,9,56.25,1.77777777777778
"2014-2015",13.12,10,62.5,1.6
"2008-2009",13,11,68.75,1.45454545454545
"2009-2010",12.4,12,75,1.33333333333333
"2016-2017",12.08,13,81.25,1.23076923076923
"2015-2016",11.6,14,87.5,1.14285714285714
"2013-2014",6.28,15,93.75,1.06666666666667
