Years,x5_hr,rank,Probability,Frequency
"2009-2010",8.16,1,6.25,16
"2021-2022",7.52,2,12.5,8
"2014-2015",7.42,3,18.75,5.33333333333333
"2016-2017",7.02,4,25,4
"2020-2021",6.66,5,31.25,3.2
"2010-2011",6.58,6,37.5,2.66666666666667
"2012-2013",6.2,7,43.75,2.28571428571429
"2013-2014",6.08,8,50,2
"2008-2009",5.88,9,56.25,1.77777777777778
"2019-2020",5.64,10,62.5,1.6
"2015-2016",5.5,11,68.75,1.45454545454545
"2018-2019",5.42,12,75,1.33333333333333
"2011-2012",5.18,13,81.25,1.23076923076923
"2007-2008",4.7,14,87.5,1.14285714285714
"2017-2018",4.48,15,93.75,1.06666666666667
