Years,x50_min,rank,Probability,Frequency
"2018-2019",39.48,1,5.26315789473684,19
"2009-2010",35.52,2,10.5263157894737,9.5
"2017-2018",32.16,3,15.7894736842105,6.33333333333333
"2019-2020",28.32,4,21.0526315789474,4.75
"2020-2021",27.84,5,26.3157894736842,3.8
"2021-2022",26.52,6,31.5789473684211,3.16666666666667
"2010-2011",25.32,7,36.8421052631579,2.71428571428571
"2004-2005",25.2,8,42.1052631578947,2.375
"2015-2016",24.72,9,47.3684210526316,2.11111111111111
"2006-2007",24.12,10,52.6315789473684,1.9
"2012-2013",22.92,11,57.8947368421053,1.72727272727273
"2005-2006",22.32,12,63.1578947368421,1.58333333333333
"2007-2008",19.56,13,68.4210526315789,1.46153846153846
"2013-2014",19.44,14,73.6842105263158,1.35714285714286
"2014-2015",18.12,15,78.9473684210526,1.26666666666667
"2011-2012",17.52,16,84.2105263157895,1.1875
"2016-2017",14.52,17,89.4736842105263,1.11764705882353
"2008-2009",10.44,18,94.7368421052632,1.05555555555556
