Years,x20_min,rank,Probability,Frequency
"2009-2010",57.6,1,4.54545454545455,22
"2001-2002",54.9,2,9.09090909090909,11
"2017-2018",47.7,3,13.6363636363636,7.33333333333333
"2002-2003",45,4,18.1818181818182,5.5
"2012-2013",44.4,5,22.7272727272727,4.4
"2019-2020",44.1,6,27.2727272727273,3.66666666666667
"2020-2021",44.1,7,31.8181818181818,3.14285714285714
"2014-2015",43.8,8,36.3636363636364,2.75
"2018-2019",43.8,9,40.9090909090909,2.44444444444444
"2015-2016",42,10,45.4545454545455,2.2
"2006-2007",38.4,11,50,2
"2004-2005",36.6,12,54.5454545454545,1.83333333333333
"2011-2012",36.3,13,59.0909090909091,1.69230769230769
"2007-2008",35.4,14,63.6363636363636,1.57142857142857
"2010-2011",31.5,15,68.1818181818182,1.46666666666667
"2021-2022",29.1,16,72.7272727272727,1.375
"2003-2004",28.8,17,77.2727272727273,1.29411764705882
"2008-2009",28.8,18,81.8181818181818,1.22222222222222
"2005-2006",28.2,19,86.3636363636364,1.15789473684211
"2016-2017",26.1,20,90.9090909090909,1.1
"2013-2014",20.7,21,95.4545454545455,1.04761904761905
