Years,x40_min,rank,Probability,Frequency
"2018-2019",53.4,1,5,20
"2017-2018",49.5,2,10,10
"2015-2016",33,3,15,6.66666666666667
"2012-2013",29.85,4,20,5
"2013-2014",28.95,5,25,4
"2009-2010",28.2,6,30,3.33333333333333
"2008-2009",25.5,7,35,2.85714285714286
"2011-2012",21.6,8,40,2.5
"2014-2015",20.1,9,45,2.22222222222222
"2020-2021",19.95,10,50,2
"2019-2020",19.95,11,55,1.81818181818182
"2006-2007",18.15,12,60,1.66666666666667
"2004-2005",18,13,65,1.53846153846154
"2007-2008",13.05,14,70,1.42857142857143
"2003-2004",12.15,15,75,1.33333333333333
"2021-2022",12.15,16,80,1.25
"2010-2011",11.7,17,85,1.17647058823529
"2005-2006",11.4,18,90,1.11111111111111
"2016-2017",10.5,19,95,1.05263157894737
