Years,x10_min,rank,Probability,Frequency
"2015-2016",107.4,1,6.25,16
"2019-2020",42.6,2,12.5,8
"2017-2018",37.8,3,18.75,5.33333333333333
"2013-2014",37.2,4,25,4
"2010-2011",36.6,5,31.25,3.2
"2008-2009",28.2,6,37.5,2.66666666666667
"2018-2019",27.6,7,43.75,2.28571428571429
"2014-2015",25.2,8,50,2
"2012-2013",22.8,9,56.25,1.77777777777778
"2009-2010",21.6,10,62.5,1.6
"2007-2008",16.2,11,68.75,1.45454545454545
"2011-2012",16.2,12,75,1.33333333333333
"2016-2017",13.8,13,81.25,1.23076923076923
"2021-2022",8.4,14,87.5,1.14285714285714
"2020-2021",7.8,15,93.75,1.06666666666667
