Years,x30_min,rank,Probability,Frequency
"2016-2017",42,1,11.1111111111111,9
"2009-2010",37,2,22.2222222222222,4.5
"2015-2016",37,3,33.3333333333333,3
"2012-2013",32.2,4,44.4444444444444,2.25
"2014-2015",29,5,55.5555555555556,1.8
"2010-2011",23.2,6,66.6666666666667,1.5
"2011-2012",22.4,7,77.7777777777778,1.28571428571429
"2013-2014",22,8,88.8888888888889,1.125
