Years,x3_5_hr,rank,Probability,Frequency
"2011-2012",10.9714285714286,1,8.33333333333333,12
"2012-2013",8.2,2,16.6666666666667,6
"2019-2020",7.74285714285714,3,25,4
"2017-2018",7.6,4,33.3333333333333,3
"2020-2021",7.17142857142857,5,41.6666666666667,2.4
"2014-2015",6.94285714285714,6,50,2
"2018-2019",6.88571428571429,7,58.3333333333333,1.71428571428571
"2015-2016",5.88571428571429,8,66.6666666666667,1.5
"2013-2014",5.74285714285714,9,75,1.33333333333333
"2016-2017",5.6,10,83.3333333333333,1.2
"2021-2022",4.82857142857143,11,91.6666666666667,1.09090909090909
