Years,x30_min,rank,Probability,Frequency
"2021-2022",30.4,1,6.25,16
"2020-2021",29.2,2,12.5,8
"2013-2014",20.2,3,18.75,5.33333333333333
"2017-2018",19.8,4,25,4
"2014-2015",19,5,31.25,3.2
"2009-2010",18.4,6,37.5,2.66666666666667
"2015-2016",16.2,7,43.75,2.28571428571429
"2019-2020",13,8,50,2
"2018-2019",12.6,9,56.25,1.77777777777778
"2008-2009",12,10,62.5,1.6
"2011-2012",11.2,11,68.75,1.45454545454545
"2007-2008",10.8,12,75,1.33333333333333
"2010-2011",9.8,13,81.25,1.23076923076923
"2016-2017",9.6,14,87.5,1.14285714285714
"2012-2013",8.6,15,93.75,1.06666666666667
