Years,x20_min,rank,Probability,Frequency
"2019-2020",55.5,1,6.66666666666667,15
"2010-2011",45.9,2,13.3333333333333,7.5
"2014-2015",45.3,3,20,5
"2012-2013",40.5,4,26.6666666666667,3.75
"2021-2022",40.2,5,33.3333333333333,3
"2020-2021",37.5,6,40,2.5
"2016-2017",36.6,7,46.6666666666667,2.14285714285714
"2018-2019",34.2,8,53.3333333333333,1.875
"2017-2018",33,9,60,1.66666666666667
"2009-2010",31.5,10,66.6666666666667,1.5
"2008-2009",30.3,11,73.3333333333333,1.36363636363636
"2015-2016",25.5,12,80,1.25
"2013-2014",24.6,13,86.6666666666667,1.15384615384615
"2011-2012",22.2,14,93.3333333333333,1.07142857142857
