Years,x6_hr,rank,Probability,Frequency
"2011-2012",10.0333333333333,1,6.25,16
"2017-2018",9.8,2,12.5,8
"2014-2015",9.21666666666667,3,18.75,5.33333333333333
"2010-2011",9.08333333333333,4,25,4
"2021-2022",8.58333333333333,5,31.25,3.2
"2020-2021",8.4,6,37.5,2.66666666666667
"2012-2013",8.38333333333333,7,43.75,2.28571428571429
"2019-2020",8.31666666666667,8,50,2
"2018-2019",8.2,9,56.25,1.77777777777778
"2016-2017",7.93333333333333,10,62.5,1.6
"2009-2010",7.66666666666667,11,68.75,1.45454545454545
"2008-2009",7.51666666666667,12,75,1.33333333333333
"2007-2008",7.06666666666667,13,81.25,1.23076923076923
"2015-2016",6.33333333333333,14,87.5,1.14285714285714
"2013-2014",3.7,15,93.75,1.06666666666667
