Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",20.8666666666667,1,4.16666666666667,24
"2013-2014",18.5333333333333,2,8.33333333333333,12
"2014-2015",18.4,3,12.5,8
"2017-2018",18.2,4,16.6666666666667,6
"2000-2001",16.8,5,20.8333333333333,4.8
"2018-2019",15.3333333333333,6,25,4
"2010-2011",14.8666666666667,7,29.1666666666667,3.42857142857143
"2007-2008",13.8666666666667,8,33.3333333333333,3
"2020-2021",13.0666666666667,9,37.5,2.66666666666667
"2019-2020",12.5333333333333,10,41.6666666666667,2.4
"2004-2005",12.4,11,45.8333333333333,2.18181818181818
"2006-2007",12.3333333333333,12,50,2
"2001-2002",11.8666666666667,13,54.1666666666667,1.84615384615385
"2008-2009",11.3333333333333,14,58.3333333333333,1.71428571428571
"1999-2000",10.6666666666667,15,62.5,1.6
"2005-2006",10.4,16,66.6666666666667,1.5
"2021-2022",9.73333333333333,17,70.8333333333333,1.41176470588235
"2012-2013",9.53333333333333,18,75,1.33333333333333
"2011-2012",9.26666666666667,19,79.1666666666667,1.26315789473684
"2015-2016",9.26666666666667,20,83.3333333333333,1.2
"2016-2017",8.2,21,87.5,1.14285714285714
"2002-2003",7.4,22,91.6666666666667,1.09090909090909
"2003-2004",7.2,23,95.8333333333333,1.04347826086957
