Years,x2_hr,rank,Probability,Frequency
"2015-2016",22,1,5.55555555555556,18
"2020-2021",20.2,2,11.1111111111111,9
"2008-2009",17.4,3,16.6666666666667,6
"2007-2008",16.05,4,22.2222222222222,4.5
"2010-2011",14.65,5,27.7777777777778,3.6
"2019-2020",13.7,6,33.3333333333333,3
"2017-2018",11.1,7,38.8888888888889,2.57142857142857
"2011-2012",10.4,8,44.4444444444444,2.25
"2016-2017",9.6,9,50,2
"2009-2010",9.4,10,55.5555555555556,1.8
"2012-2013",9,11,61.1111111111111,1.63636363636364
"2018-2019",8.85,12,66.6666666666667,1.5
"2006-2007",8.6,13,72.2222222222222,1.38461538461538
"2014-2015",8.35,14,77.7777777777778,1.28571428571429
"2005-2006",7.7,15,83.3333333333333,1.2
"2013-2014",6.25,16,88.8888888888889,1.125
"2021-2022",6.2,17,94.4444444444444,1.05882352941176
