Years,x40_min,rank,Probability,Frequency
"2006-2007",52.5,1,5.88235294117647,17
"2020-2021",51.15,2,11.7647058823529,8.5
"2015-2016",40.95,3,17.6470588235294,5.66666666666667
"2007-2008",35.7,4,23.5294117647059,4.25
"2016-2017",34.65,5,29.4117647058824,3.4
"2017-2018",34.5,6,35.2941176470588,2.83333333333333
"2008-2009",29.1,7,41.1764705882353,2.42857142857143
"2014-2015",28.65,8,47.0588235294118,2.125
"2021-2022",24.6,9,52.9411764705882,1.88888888888889
"2009-2010",22.95,10,58.8235294117647,1.7
"2012-2013",22.8,11,64.7058823529412,1.54545454545455
"2011-2012",22.5,12,70.5882352941177,1.41666666666667
"2019-2020",21.15,13,76.4705882352941,1.30769230769231
"2013-2014",20.85,14,82.3529411764706,1.21428571428571
"2010-2011",20.7,15,88.2352941176471,1.13333333333333
"2018-2019",19.05,16,94.1176470588235,1.0625
