Years,x1_5_hr,rank,Probability,Frequency
"2009-2010",16.4666666666667,1,6.25,16
"2015-2016",14.2666666666667,2,12.5,8
"2007-2008",12.8666666666667,3,18.75,5.33333333333333
"2018-2019",12.6666666666667,4,25,4
"2014-2015",12.4,5,31.25,3.2
"2010-2011",12.3333333333333,6,37.5,2.66666666666667
"2016-2017",12,7,43.75,2.28571428571429
"2012-2013",10.7333333333333,8,50,2
"2021-2022",10.2666666666667,9,56.25,1.77777777777778
"2020-2021",9.93333333333333,10,62.5,1.6
"2008-2009",9.93333333333333,11,68.75,1.45454545454545
"2019-2020",9,12,75,1.33333333333333
"2013-2014",8.8,13,81.25,1.23076923076923
"2011-2012",8.66666666666667,14,87.5,1.14285714285714
"2017-2018",7.26666666666667,15,93.75,1.06666666666667
