Years,x2_5_hr,rank,Probability,Frequency
"1994-1995",14.4,1,3.125,32
"2015-2016",12.08,2,6.25,16
"2005-2006",9.2,3,9.375,10.6666666666667
"2004-2005",8.8,4,12.5,8
"2002-2003",7.32,5,15.625,6.4
"2010-2011",6.08,6,18.75,5.33333333333333
"2014-2015",6.04,7,21.875,4.57142857142857
"2017-2018",6.04,8,25,4
"1997-1998",6,9,28.125,3.55555555555556
"2013-2014",6,10,31.25,3.2
"2006-2007",5,11,34.375,2.90909090909091
"2001-2002",4.84,12,37.5,2.66666666666667
"1992-1993",4.8,13,40.625,2.46153846153846
"1996-1997",4.8,14,43.75,2.28571428571429
"2016-2017",4.8,15,46.875,2.13333333333333
"2020-2021",4.36,16,50,2
"2000-2001",4.2,17,53.125,1.88235294117647
"2019-2020",4.12,18,56.25,1.77777777777778
"2011-2012",4.04,19,59.375,1.68421052631579
"2007-2008",4,20,62.5,1.6
"2003-2004",3.96,21,65.625,1.52380952380952
"2008-2009",3.88,22,68.75,1.45454545454545
"2012-2013",3.72,23,71.875,1.39130434782609
"2009-2010",3.6,24,75,1.33333333333333
"2021-2022",3.4,25,78.125,1.28
"1993-1994",3.2,26,81.25,1.23076923076923
"1995-1996",3.2,27,84.375,1.18518518518519
"1999-2000",2.92,28,87.5,1.14285714285714
"2018-2019",2.72,29,90.625,1.10344827586207
"1998-1999",2.08,30,93.75,1.06666666666667
"1991-1992",0.4476,31,96.875,1.03225806451613
