Years,x40_min,rank,Probability,Frequency
"2012-2013",24.6,1,4.76190476190476,21
"2016-2017",15.75,2,9.52380952380952,10.5
"2017-2018",12.6,3,14.2857142857143,7
"2020-2021",10.35,4,19.047619047619,5.25
"2013-2014",10.05,5,23.8095238095238,4.2
"2021-2022",9.75,6,28.5714285714286,3.5
"2009-2010",8.55,7,33.3333333333333,3
"2018-2019",7.8,8,38.0952380952381,2.625
"2019-2020",7.8,9,42.8571428571429,2.33333333333333
"2003-2004",7.35,10,47.6190476190476,2.1
"2006-2007",6.75,11,52.3809523809524,1.90909090909091
"2010-2011",6.3,12,57.1428571428571,1.75
"2002-2003",4.95,13,61.9047619047619,1.61538461538462
"2014-2015",3.6,14,66.6666666666667,1.5
"2015-2016",3.3,15,71.4285714285714,1.4
"2008-2009",2.1,16,76.1904761904762,1.3125
"2011-2012",1.05,17,80.9523809523809,1.23529411764706
"2004-2005",0.9,18,85.7142857142857,1.16666666666667
"2005-2006",0.9,19,90.4761904761905,1.10526315789474
"2007-2008",0.9,20,95.2380952380952,1.05
