Years,x30_min,rank,Probability,Frequency
"2019-2020",36.6,1,6.25,16
"2018-2019",34.6,2,12.5,8
"2017-2018",34.6,3,18.75,5.33333333333333
"2008-2009",33,4,25,4
"2020-2021",32,5,31.25,3.2
"2013-2014",29.2,6,37.5,2.66666666666667
"2007-2008",26.8,7,43.75,2.28571428571429
"2012-2013",22.2,8,50,2
"2015-2016",21.6,9,56.25,1.77777777777778
"2009-2010",21.4,10,62.5,1.6
"2010-2011",20.8,11,68.75,1.45454545454545
"2011-2012",18.2,12,75,1.33333333333333
"2016-2017",15.2,13,81.25,1.23076923076923
"2021-2022",13.6,14,87.5,1.14285714285714
"2014-2015",13.4,15,93.75,1.06666666666667
