Years,x20_min,rank,Probability,Frequency
"1994-1995",87,1,3.125,32
"2015-2016",49.5,2,6.25,16
"2002-2003",41.1,3,9.375,10.6666666666667
"1997-1998",33,4,12.5,8
"2004-2005",31.8,5,15.625,6.4
"2013-2014",31.5,6,18.75,5.33333333333333
"2006-2007",27.6,7,21.875,4.57142857142857
"2017-2018",22.8,8,25,4
"2007-2008",22.5,9,28.125,3.55555555555556
"2005-2006",22.2,10,31.25,3.2
"1996-1997",21,11,34.375,2.90909090909091
"2008-2009",21,12,37.5,2.66666666666667
"2000-2001",19.5,13,40.625,2.46153846153846
"2019-2020",18.3,14,43.75,2.28571428571429
"1992-1993",18,15,46.875,2.13333333333333
"2011-2012",18,16,50,2
"2016-2017",18,17,53.125,1.88235294117647
"2009-2010",17.7,18,56.25,1.77777777777778
"2014-2015",17.7,19,59.375,1.68421052631579
"2001-2002",15.3,20,62.5,1.6
"2010-2011",15,21,65.625,1.52380952380952
"2012-2013",15,22,68.75,1.45454545454545
"2003-2004",14.4,23,71.875,1.39130434782609
"2020-2021",14.1,24,75,1.33333333333333
"2021-2022",13.8,25,78.125,1.28
"2018-2019",11.4,26,81.25,1.23076923076923
"1995-1996",9,27,84.375,1.18518518518519
"1998-1999",8.7,28,87.5,1.14285714285714
"1999-2000",8.7,29,90.625,1.10344827586207
"1993-1994",6,30,93.75,1.06666666666667
"1991-1992",3.051,31,96.875,1.03225806451613
