Years,x1_hr,rank,Probability,Frequency
"2009-2010",25,1,5.55555555555556,18
"2020-2021",21.5,2,11.1111111111111,9
"2019-2020",21,3,16.6666666666667,6
"2021-2022",17.5,4,22.2222222222222,4.5
"2015-2016",16.2,5,27.7777777777778,3.6
"2012-2013",16.2,6,33.3333333333333,3
"2017-2018",16.1,7,38.8888888888889,2.57142857142857
"2008-2009",15.3,8,44.4444444444444,2.25
"2018-2019",13.7,9,50,2
"2014-2015",13.5,10,55.5555555555556,1.8
"2005-2006",13.4,11,61.1111111111111,1.63636363636364
"2016-2017",13.2,12,66.6666666666667,1.5
"2006-2007",12.9,13,72.2222222222222,1.38461538461538
"2011-2012",12.8,14,77.7777777777778,1.28571428571429
"2010-2011",11.5,15,83.3333333333333,1.2
"2013-2014",11.3,16,88.8888888888889,1.125
"2007-2008",8.1,17,94.4444444444444,1.05882352941176
