Years,x10_min,rank,Probability,Frequency
"2013-2014",70.2,1,4.16666666666667,24
"2008-2009",67.8,2,8.33333333333333,12
"2019-2020",60.6,3,12.5,8
"2000-2001",51,4,16.6666666666667,6
"2004-2005",39.6,5,20.8333333333333,4.8
"2014-2015",38.4,6,25,4
"2015-2016",34.8,7,29.1666666666667,3.42857142857143
"2021-2022",33.6,8,33.3333333333333,3
"2009-2010",29.4,9,37.5,2.66666666666667
"2002-2003",28.2,10,41.6666666666667,2.4
"2001-2002",26.4,11,45.8333333333333,2.18181818181818
"2011-2012",24.6,12,50,2
"2016-2017",24.6,13,54.1666666666667,1.84615384615385
"2017-2018",23.4,14,58.3333333333333,1.71428571428571
"2018-2019",23.4,15,62.5,1.6
"2012-2013",20.4,16,66.6666666666667,1.5
"2020-2021",20.4,17,70.8333333333333,1.41176470588235
"2010-2011",19.2,18,75,1.33333333333333
"2007-2008",18.6,19,79.1666666666667,1.26315789473684
"2005-2006",16.2,20,83.3333333333333,1.2
"1999-2000",15.6,21,87.5,1.14285714285714
"2003-2004",14.4,22,91.6666666666667,1.09090909090909
"2006-2007",12.6,23,95.8333333333333,1.04347826086957
