Years,x2_5_hr,rank,Probability,Frequency
"2009-2010",10.32,1,6.25,16
"2008-2009",8.92,2,12.5,8
"2017-2018",8.44,3,18.75,5.33333333333333
"2015-2016",8.24,4,25,4
"2014-2015",8.12,5,31.25,3.2
"2018-2019",8.12,6,37.5,2.66666666666667
"2020-2021",7.4,7,43.75,2.28571428571429
"2019-2020",7.04,8,50,2
"2013-2014",6.96,9,56.25,1.77777777777778
"2012-2013",6.36,10,62.5,1.6
"2021-2022",5.96,11,68.75,1.45454545454545
"2016-2017",5.72,12,75,1.33333333333333
"2011-2012",5.68,13,81.25,1.23076923076923
"2007-2008",5.16,14,87.5,1.14285714285714
"2010-2011",5.04,15,93.75,1.06666666666667
