Years,x50_min,rank,Probability,Frequency
"2012-2013",35.64,1,6.66666666666667,15
"2019-2020",34.08,2,13.3333333333333,7.5
"2014-2015",29.76,3,20,5
"2010-2011",29.04,4,26.6666666666667,3.75
"2021-2022",26.28,5,33.3333333333333,3
"2018-2019",22.56,6,40,2.5
"2016-2017",20.76,7,46.6666666666667,2.14285714285714
"2020-2021",20.28,8,53.3333333333333,1.875
"2013-2014",19.44,9,60,1.66666666666667
"2009-2010",18.84,10,66.6666666666667,1.5
"2017-2018",18.24,11,73.3333333333333,1.36363636363636
"2015-2016",17.28,12,80,1.25
"2008-2009",17.16,13,86.6666666666667,1.15384615384615
"2011-2012",13.68,14,93.3333333333333,1.07142857142857
