Years,x30_min,rank,Probability,Frequency
"2017-2018",45.4,1,4,25
"2010-2011",37.4,2,8,12.5
"2015-2016",35.2,3,12,8.33333333333333
"2012-2013",34,4,16,6.25
"2001-2002",32,5,20,5
"2020-2021",31.4,6,24,4.16666666666667
"2013-2014",30,7,28,3.57142857142857
"2014-2015",29.8,8,32,3.125
"2011-2012",28.4,9,36,2.77777777777778
"2019-2020",28.4,10,40,2.5
"2002-2003",24.4,11,44,2.27272727272727
"2004-2005",23.8,12,48,2.08333333333333
"1998-1999",23.8,13,52,1.92307692307692
"2005-2006",23.4,14,56,1.78571428571429
"2009-2010",23,15,60,1.66666666666667
"2006-2007",22.2,16,64,1.5625
"1999-2000",20.4,17,68,1.47058823529412
"2018-2019",20.2,18,72,1.38888888888889
"2000-2001",20.2,19,76,1.31578947368421
"2021-2022",18.2,20,80,1.25
"2008-2009",17.4,21,84,1.19047619047619
"2003-2004",15.8,22,88,1.13636363636364
"2016-2017",14.4,23,92,1.08695652173913
"2007-2008",14,24,96,1.04166666666667
