Years,x2_hr,rank,Probability,Frequency
"2013-2014",13.45,1,6.25,16
"2018-2019",9.3,2,12.5,8
"2020-2021",9.05,3,18.75,5.33333333333333
"2021-2022",8.9,4,25,4
"2015-2016",8.05,5,31.25,3.2
"2017-2018",7.6,6,37.5,2.66666666666667
"2008-2009",6.8,7,43.75,2.28571428571429
"2011-2012",6.5,8,50,2
"2016-2017",6.4,9,56.25,1.77777777777778
"2009-2010",6.3,10,62.5,1.6
"2012-2013",6.3,11,68.75,1.45454545454545
"2014-2015",6,12,75,1.33333333333333
"2019-2020",5.65,13,81.25,1.23076923076923
"2010-2011",5.55,14,87.5,1.14285714285714
"2007-2008",5.2,15,93.75,1.06666666666667
