Years,x10_min,rank,Probability,Frequency
"2009-2010",43.8,1,5,20
"2018-2019",33.6,2,10,10
"2006-2007",32.4,3,15,6.66666666666667
"2019-2020",29.4,4,20,5
"2011-2012",26.4,5,25,4
"2007-2008",25.2,6,30,3.33333333333333
"2005-2006",21.6,7,35,2.85714285714286
"2004-2005",21,8,40,2.5
"2013-2014",18.6,9,45,2.22222222222222
"2016-2017",18,10,50,2
"2010-2011",17.4,11,55,1.81818181818182
"2020-2021",16.8,12,60,1.66666666666667
"2017-2018",15.6,13,65,1.53846153846154
"2015-2016",15,14,70,1.42857142857143
"2012-2013",14.4,15,75,1.33333333333333
"2021-2022",14.4,16,80,1.25
"2014-2015",13.8,17,85,1.17647058823529
"2003-2004",13.2,18,90,1.11111111111111
"2008-2009",12,19,95,1.05263157894737
